set: 0, left: 0, right: -0.0012401

set: 0, left: 0, right: -0.0012401

set: 0, left: 0, right: -0.0012401

set: 0, left: 0, right: -0.0012401

set: 0, left: 0, right: -0.0012401

set: 0, left: 0, right: -0.0012401

set: 0, left: 0, right: -0.0012401

set: 0, left: 0.000826735, right: 0

set: 0, left: 0.000826735, right: 0

set: 0, left: 0.000826735, right: 0

set: 0, left: 0.000826735, right: 0

set: 0, left: 0.000826735, right: 0

set: 0, left: 0.000826735, right: 0

set: 0, left: -0.0012401, right: 0

set: 0, left: -0.00206684, right: 0

set: 0, left: -0.00206684, right: 0

set: 0, left: -0.0012401, right: 0

set: 0, left: -0.0012401, right: 0

set: 0, left: -0.0012401, right: 0

set: 0, left: -0.0012401, right: 0

set: 0, left: -0.0012401, right: 0

set: 0, left: 0, right: -0.0012401

set: 0, left: 0, right: -0.0012401

set: 0, left: 0, right: -0.0012401

set: 0, left: 0, right: -0.0012401

set: 0, left: 0, right: -0.0012401

set: 0, left: -0.0012401, right: 0

set: 0, left: -0.0012401, right: 0

set: 0, left: -0.0012401, right: 0

set: 0, left: -0.0012401, right: 0

set: 0, left: -0.0012401, right: 0

set: 0, left: -0.0012401, right: 0

set: 0, left: -0.0012401, right: 0

set: 0, left: -0.0012401, right: 0

set: 0, left: -0.0012401, right: 0

set: 0, left: -0.0012401, right: 0

set: 0, left: -0.0012401, right: 0

set: 0, left: -0.0012401, right: 0

set: 0, left: 0, right: -0.0012401

set: 0, left: 0, right: -0.0012401

set: 0, left: 0, right: -0.0012401

set: 0, left: 0, right: -0.0012401

set: 0, left: 0, right: -0.0012401

set: 0, left: 0, right: -0.0012401

set: 0, left: 0, right: -0.0012401

set: 0, left: 0, right: -0.0012401

set: 0, left: -0.0012401, right: 0

set: 0, left: -0.0012401, right: 0

set: 0, left: -0.0012401, right: 0

set: 0, left: -0.0012401, right: 0

set: 0, left: -0.0012401, right: 0

set: 0, left: -0.0012401, right: 0

set: 0.035, left: -0.0012401, right: 0

set: 0.036, left: -0.0012401, right: 0

set: 0.037, left: -0.0012401, right: 0

set: 0.038, left: -0.0012401, right: 0

set: 0.039, left: -0.0012401, right: 0

set: 0.04, left: -0.00206684, right: 0

set: 0.041, left: -0.00206684, right: 0

set: 0.042, left: -0.0012401, right: 0

set: 0.043, left: -0.0012401, right: 0

set: 0.044, left: -0.0012401, right: 0

set: 0.045, left: -0.0012401, right: 0

set: 0.046, left: -0.0012401, right: 0

set: 0.047, left: -0.0012401, right: 0

set: 0.048, left: -0.0012401, right: 0

set: 0.0629999, left: 0, right: 0.000826735

set: 0.064, left: 0, right: 0.000826735

set: 0.065, left: 0, right: 0.000826735

set: 0.066, left: 0, right: 0.000826735

set: 0.067, left: 0, right: 0.000826735

set: 0.07, left: 0, right: -0.0012401

set: 0.071, left: 0, right: -0.0012401

set: 0.076, left: -0.0012401, right: 0

set: 0.077, left: -0.0012401, right: 0

set: 0.078, left: -0.00206684, right: 0

set: 0.079, left: -0.0012401, right: 0

set: 0.08, left: -0.0012401, right: 0

set: 0.081, left: -0.0012401, right: 0

set: 0.082, left: -0.0012401, right: 0

set: 0.083, left: -0.0012401, right: 0

set: 0.084, left: -0.0012401, right: 0

set: 0.085, left: -0.0012401, right: 0

set: 0.086, left: -0.0012401, right: 0

set: 0.087, left: -0.0012401, right: 0

set: 0.088, left: -0.0012401, right: 0

set: 0.11, left: -0.0012401, right: 0

set: 0.111, left: -0.0012401, right: 0

set: 0.112, left: -0.0012401, right: 0

set: 0.113, left: -0.00206684, right: 0

set: 0.114, left: -0.0012401, right: 0

set: 0.115, left: -0.0012401, right: 0

set: 0.116, left: -0.0012401, right: 0

set: 0.117, left: -0.0012401, right: 0

set: 0.118, left: -0.0012401, right: 0.000826735

set: 0.119, left: -0.0012401, right: 0.000826735

set: 0.12, left: -0.0012401, right: 0.000826735

set: 0.121, left: -0.0012401, right: 0.000826735

set: 0.122, left: -0.0012401, right: 0.000826735

set: 0.123, left: -0.0012401, right: 0.000826735

set: 0.125, left: 0, right: -0.0012401

set: 0.126, left: 0, right: -0.0012401

set: 0.127, left: 0, right: -0.0012401

set: 0.145, left: -0.0012401, right: 0

set: 0.146, left: -0.0012401, right: 0

set: 0.147, left: -0.0012401, right: 0

set: 0.148, left: -0.00206684, right: 0

set: 0.149, left: -0.0012401, right: 0

set: 0.15, left: -0.0012401, right: 0

set: 0.151, left: -0.0012401, right: 0

set: 0.152, left: -0.0012401, right: 0

set: 0.153, left: -0.0012401, right: 0

set: 0.154, left: -0.0012401, right: 0.000826735

set: 0.155, left: -0.0012401, right: 0.000826735

set: 0.156, left: -0.0012401, right: 0.000826735

set: 0.157, left: -0.0012401, right: 0.000826735

set: 0.158, left: -0.0012401, right: 0.000826735

set: 0.159, left: 0, right: 0.000826735

set: 0.162, left: 0, right: -0.0012401

set: 0.163, left: 0, right: -0.0012401

set: 0.164, left: 0, right: 0

set: 0.177, left: -0.0012401, right: 0

set: 0.178, left: -0.00206684, right: 0

set: 0.179, left: -0.00206684, right: 0

set: 0.18, left: -0.0012401, right: 0

set: 0.181, left: -0.0012401, right: 0

set: 0.182, left: -0.0012401, right: 0

set: 0.183, left: -0.0012401, right: 0

set: 0.184, left: -0.0012401, right: 0

set: 0.185, left: -0.0012401, right: 0

set: 0.186, left: -0.0012401, right: 0

set: 0.187, left: -0.0012401, right: 0.000826735

set: 0.188, left: -0.0012401, right: 0.000826735

set: 0.189, left: -0.0012401, right: 0

set: 0.191, left: 0, right: -0.0012401

set: 0.192, left: 0, right: -0.0012401

set: 0.205, left: -0.0012401, right: 0

set: 0.206, left: -0.0012401, right: 0

set: 0.207, left: -0.00206684, right: 0

set: 0.208, left: -0.0012401, right: 0

set: 0.209, left: -0.0012401, right: 0

set: 0.21, left: -0.0012401, right: 0

set: 0.211, left: -0.0012401, right: 0

set: 0.212, left: -0.0012401, right: 0

set: 0.213, left: -0.0012401, right: 0

set: 0.214, left: -0.0012401, right: 0

set: 0.215, left: -0.0012401, right: 0

set: 0.216, left: -0.0012401, right: 0.000826735

set: 0.217, left: -0.0012401, right: 0.000826735

set: 0.218, left: 0, right: 0.000826735

set: 0.219, left: 0, right: 0.000826735

set: 0.22, left: 0, right: 0.000826735

set: 0.221, left: 0, right: 0.000826735

set: 0.222, left: 0, right: 0.000826735

set: 0.223, left: 0, right: 0.000826735

set: 0.224, left: 0, right: 0.000826735

set: 0.226, left: 0, right: -0.0012401

set: 0.227, left: 0, right: -0.0012401

set: 0.24, left: -0.0012401, right: 0

set: 0.241, left: -0.0012401, right: 0

set: 0.242, left: -0.00206684, right: 0

set: 0.243, left: -0.00206684, right: 0

set: 0.244, left: -0.0012401, right: 0

set: 0.245, left: -0.0012401, right: 0

set: 0.246, left: -0.0012401, right: 0

set: 0.247, left: -0.0012401, right: 0

set: 0.248, left: -0.0012401, right: 0

set: 0.249, left: -0.0012401, right: 0

set: 0.25, left: -0.0012401, right: 0

set: 0.251, left: -0.0012401, right: 0

set: 0.252, left: -0.0012401, right: 0

set: 0.267, left: 0, right: 0.000826735

set: 0.268, left: 0, right: 0.000826735

set: 0.269, left: 0, right: 0.000826735

set: 0.27, left: 0, right: 0.000826735

set: 0.271, left: 0, right: 0.000826735

set: 0.272, left: 0, right: 0.000826735

set: 0.273, left: 0, right: 0.000826735

set: 0.274, left: 0, right: 0.000826735

set: 0.275, left: 0, right: 0.000826735

set: 0.277, left: 0, right: -0.0012401

set: 0.278, left: 0, right: -0.0012401

set: 0.279, left: -0.0012401, right: -0.0012401

set: 0.28, left: -0.00206684, right: 0

set: 0.281, left: -0.00206684, right: 0

set: 0.282, left: -0.00206684, right: 0

set: 0.283, left: -0.0012401, right: 0

set: 0.284, left: -0.0012401, right: 0

set: 0.285, left: -0.0012401, right: 0

set: 0.286, left: -0.0012401, right: 0

set: 0.287, left: -0.0012401, right: 0

set: 0.288, left: -0.0012401, right: 0

set: 0.289, left: -0.0012401, right: 0

set: 0.29, left: -0.0012401, right: 0

set: 0.291, left: -0.0012401, right: 0

set: 0.292, left: -0.0012401, right: 0

set: 0.293, left: -0.0012401, right: 0

set: 0.294, left: -0.0012401, right: 0

set: 0.320999, left: 0, right: 0.000826735

set: 0.321999, left: 0, right: 0.000826735

set: 0.322999, left: 0, right: 0.000826735

set: 0.323999, left: 0, right: 0.000826735

set: 0.324999, left: 0, right: 0.000826735

set: 0.327999, left: 0, right: -0.0012401

set: 0.328999, left: 0, right: -0.0012401

set: 0.332999, left: -0.0012401, right: 0

set: 0.333999, left: -0.00206684, right: 0

set: 0.334999, left: -0.00206684, right: 0

set: 0.335999, left: -0.00206684, right: 0

set: 0.336999, left: -0.00206684, right: 0

set: 0.337999, left: -0.0012401, right: 0

set: 0.338999, left: -0.0012401, right: 0

set: 0.339999, left: -0.0012401, right: 0

set: 0.340999, left: -0.0012401, right: 0

set: 0.341999, left: -0.0012401, right: 0

set: 0.342999, left: -0.0012401, right: 0

set: 0.343999, left: -0.0012401, right: 0

set: 0.344999, left: -0.0012401, right: 0

set: 0.345999, left: -0.0012401, right: 0

set: 0.346999, left: -0.0012401, right: 0

set: 0.347999, left: -0.0012401, right: 0

set: 0.348999, left: -0.0012401, right: 0

set: 0.349999, left: -0.0012401, right: 0

set: 0.350999, left: -0.0012401, right: 0

